dataset,label_type,model,cv_mode,cv_k,step,train_loss,test_loss,train_accuracy,test_accuracy,train_top2accuracy,test_top2accuracy,train_top3accuracy,test_top3accuracy
AMRB2,species,drcaps,k-fold,9,73,0.088953514,0.217402543,0.83395508,0.609294161,0.971630632,0.843903979,0.997041409,0.967125524
AMRB2,species,drcaps,k-fold,9,76,0.088434492,0.220235198,0.835136977,0.603081116,0.971936693,0.84396557,0.997008685,0.965485649
AMRB2,species,drcaps,k-fold,9,78,0.088098078,0.223158957,0.836122532,0.600640552,0.972140734,0.839869734,0.997051033,0.965716617
AMRB2,species,drcaps,k-fold,9,79,0.088067123,0.221629555,0.835985863,0.602411308,0.97211571,0.843888581,0.997097231,0.966625092
AMRB2,species,drcaps,leave-out,0,1,0.085384903,0.42341463,0.848845279,0.198846087,0.985516709,0.37972784,1,1
AMRB2,species,drcaps,leave-out,0,11,0.061375212,0.260660277,0.887548148,0.607370768,0.990709258,0.811520193,1,1
AMRB2,species,drcaps,leave-out,0,99,0.040359574,0.287406227,0.930026856,0.621933096,0.996039372,0.82768518,1,1
AMRB2,species,drcaps,leave-out,0,100,0.040130243,0.287519713,0.93033073,0.617919168,0.996004468,0.820181829,1,1
AMRB2,species,drcaps,leave-out,1,1,0.102419418,0.30938548,0.797470044,0.449316825,0.978613842,0.791728619,1,1
AMRB2,species,drcaps,leave-out,1,83,0.059122796,0.239198918,0.889933969,0.57473346,0.992497598,0.885435238,1,1
AMRB2,species,drcaps,leave-out,1,95,0.057398948,0.272432329,0.894019842,0.525202416,0.993035537,0.8765212,1,1
AMRB2,species,drcaps,leave-out,2,1,0.110395152,0.321768354,0.786063096,0.22272162,0.975855759,0.973934924,1,1
AMRB2,species,drcaps,leave-out,2,2,0.097268061,0.290969749,0.810515041,0.244413594,0.979301581,0.975531453,1,1
AMRB2,species,drcaps,leave-out,2,8,0.090853985,0.424906184,0.823549032,0.135965293,0.981023317,0.982206797,1,1
AMRB2,species,drcaps,leave-out,2,99,0.053896671,0.417855772,0.898098104,0.235892986,0.99299561,0.959045553,1,1
AMRB2,species,drcaps,leave-out,2,100,0.053792607,0.429184081,0.898631302,0.222999277,0.992950981,0.947887202,1,1
AMRB2,species,drcaps,leave-out,3,1,0.178915515,0.244437789,0.637927211,0.30968044,0.912381779,0.991154803,1,1
AMRB2,species,drcaps,leave-out,3,2,0.168440329,0.200137756,0.660012533,0.372878015,0.924056881,0.98994752,1,1
AMRB2,species,drcaps,leave-out,3,7,0.159086146,0.24568881,0.680726922,0.457141449,0.932592914,0.870574322,1,1
AMRB2,species,drcaps,leave-out,3,28,0.120551508,0.234417215,0.766376476,0.355434006,0.962496987,0.997905733,1,1
AMRB2,species,drcaps,leave-out,3,100,0.100653916,0.226190082,0.80887732,0.23916525,0.97474283,0.994678099,1,1
AMRB2,species,resnet,k-fold,0,5,0.489041932,0.999810019,0.849918384,0.54113544,0.977074286,0.810259608,0.997532262,0.964253819
AMRB2,species,resnet,k-fold,0,6,0.483861196,1.005576461,0.854062721,0.537293668,0.977994395,0.811391353,0.997626582,0.96868071
AMRB2,species,resnet,k-fold,0,21,0.447424684,1.046711601,0.882853645,0.546909645,0.985278265,0.813038926,0.99844467,0.961474501
AMRB2,species,resnet,k-fold,0,86,0.404756171,1.168466671,0.922096846,0.535715386,0.991967338,0.785838569,0.999274308,0.920808697
AMRB2,species,resnet,k-fold,0,100,0.400322717,1.199300255,0.926262358,0.528948017,0.992517863,0.781072924,0.999230035,0.914418576
AMRB2,species,resnet,k-fold,1,2,0.511371234,0.891483652,0.833564323,0.58924612,0.971311097,0.859124784,0.99679887,0.978111912
AMRB2,species,resnet,k-fold,1,4,0.496008045,0.929021164,0.844605624,0.59288002,0.974683544,0.863921224,0.997239675,0.983478073
AMRB2,species,resnet,k-fold,1,11,0.469748033,0.919070878,0.864842234,0.603504558,0.980510256,0.867262565,0.997996166,0.981191488
AMRB2,species,resnet,k-fold,1,98,0.404204674,1.040896545,0.923419261,0.596336844,0.991742123,0.846229059,0.999255059,0.950457317
AMRB2,species,resnet,k-fold,1,100,0.403575766,1.042589584,0.924262373,0.602118748,0.99204626,0.844142646,0.999214635,0.946792621
AMRB2,species,resnet,k-fold,2,5,0.501306704,0.939931478,0.837754858,0.574456455,0.976227325,0.903817135,0.998148234,0.981999877
AMRB2,species,resnet,k-fold,2,11,0.478465618,0.842530175,0.855654624,0.624815225,0.980772044,0.906280796,0.998589039,0.981137595
AMRB2,species,resnet,k-fold,2,18,0.46241882,0.863764688,0.868973097,0.626177938,0.983788383,0.908005358,0.99877768,0.97994426
AMRB2,species,resnet,k-fold,2,44,0.43201453,0.853782453,0.895989251,0.643539049,0.988660338,0.899074587,0.999131864,0.976933974
AMRB2,species,resnet,k-fold,2,97,0.406970511,0.925399066,0.920181558,0.629911924,0.991978888,0.881536401,0.999355154,0.963499322
AMRB2,species,resnet,k-fold,2,99,0.406685851,0.938710532,0.920618513,0.629242116,0.991967338,0.878202759,0.999299332,0.96213661
AMRB2,species,resnet,k-fold,2,100,0.406581568,0.919166917,0.920377899,0.637741747,0.992053959,0.881628788,0.999351304,0.963545516
AMRB2,species,resnet,k-fold,3,2,0.52052798,0.834624195,0.828850211,0.620996551,0.969420832,0.828575388,0.997143429,0.954622444
AMRB2,species,resnet,k-fold,3,3,0.510452893,0.834687144,0.836268826,0.626408906,0.971492039,0.818405087,0.997484139,0.951727642
AMRB2,species,resnet,k-fold,3,4,0.502816755,0.826776063,0.842085913,0.625038495,0.973176337,0.820198941,0.99757461,0.953752464
AMRB2,species,resnet,k-fold,3,95,0.405435828,1.031954369,0.924246974,0.600224809,0.991488035,0.793853166,0.999307031,0.905279933
AMRB2,species,resnet,k-fold,3,99,0.404270421,1.025781483,0.925030414,0.600009239,0.991643953,0.794884824,0.999287782,0.903462983
AMRB2,species,resnet,k-fold,3,100,0.403824986,1.03276027,0.925292202,0.59840016,0.991643953,0.792421163,0.999276233,0.905472407
AMRB2,species,resnet,k-fold,4,2,0.523869933,0.796693198,0.830496012,0.668144863,0.965176399,0.850463476,0.99634844,0.958179355
AMRB2,species,resnet,k-fold,4,15,0.468104582,0.818816447,0.872489913,0.675605137,0.978392852,0.862443028,0.998015415,0.954383777
AMRB2,species,resnet,k-fold,4,33,0.442363244,0.846512977,0.893885321,0.668568305,0.983497721,0.864575634,0.998469694,0.954822616
AMRB2,species,resnet,k-fold,4,99,0.408512049,0.936294339,0.923378838,0.663741069,0.989636268,0.839492486,0.998974021,0.925451158
AMRB2,species,resnet,k-fold,4,100,0.408659855,0.927184977,0.923301842,0.665704299,0.989676692,0.844989529,0.99900482,0.927945615
AMRB2,species,resnet,k-fold,5,1,0.572183901,0.654391012,0.794184453,0.743186438,0.949613477,0.948116839,0.993844128,0.997035908
AMRB2,species,resnet,k-fold,5,7,0.514963537,0.631807234,0.836182205,0.755042806,0.965584481,0.949433358,0.996504358,0.99367917
AMRB2,species,resnet,k-fold,5,9,0.507575473,0.634138592,0.84191652,0.756128357,0.967842404,0.950349532,0.996766146,0.992793792
AMRB2,species,resnet,k-fold,5,12,0.498499033,0.640068794,0.849021374,0.756559497,0.970208122,0.947231461,0.997026009,0.991916112
AMRB2,species,resnet,k-fold,5,96,0.429925284,0.705685718,0.907835166,0.738236019,0.985643999,0.926713784,0.998654486,0.980075142
