model,cv_k,step,train_loss,test_loss,train_accuracy,test_accuracy,train_top2accuracy,test_top2accuracy,train_top3accuracy,test_top3accuracy
drcaps,0,99,0.0404,0.2874,0.9300,0.6219,0.9960,0.8277,1.0000,1.0000
drcaps,1,83,0.0591,0.2392,0.8899,0.5747,0.9925,0.8854,1.0000,1.0000
drcaps,2,99,0.0539,0.4179,0.8981,0.2359,0.9930,0.9590,1.0000,1.0000
drcaps,3,28,0.1206,0.2344,0.7664,0.3554,0.9625,0.9979,1.0000,1.0000
resnet,0,14,0.3081,1.1049,0.9487,0.5482,0.9975,0.8045,1.0000,1.0000
resnet,1,8,0.3567,1.0652,0.9087,0.5084,0.9948,0.8693,1.0000,1.0000
resnet,2,16,0.3394,1.0902,0.9183,0.4557,0.9959,0.9084,1.0000,1.0000
resnet,3,8,0.4669,0.6813,0.8220,0.4819,0.9781,0.9985,1.0000,1.0000
