model_name,dataset_name,ood,train_acc,val_acc,test_acc,knn_f_l2.kld,knn_f_l2.emd,knn_f_l2.auc,knn_f_ip.kld,knn_f_ip.emd,knn_f_ip.auc,knn_l_l2.kld,knn_l_l2.emd,knn_l_l2.auc,knn_l_ip.kld,knn_l_ip.emd,knn_l_ip.auc,rcn_l2.kld,rcn_l2.emd,rcn_l2.auc,rcn_ip.kld,rcn_ip.emd,rcn_ip.auc,knn_u_l2.kld,knn_u_l2.emd,knn_u_l2.auc,knn_u_ip.kld,knn_u_ip.emd,knn_u_ip.auc,knn_v_l2.kld,knn_v_l2.emd,knn_v_l2.auc,knn_v_ip.kld,knn_v_ip.emd,knn_v_ip.auc,knn_f_fp_l2.kld,knn_f_fp_l2.emd,knn_f_fp_l2.auc,knn_f_fp_ip.kld,knn_f_fp_ip.emd,knn_f_fp_ip.auc,knn_l_fp_l2.kld,knn_l_fp_l2.emd,knn_l_fp_l2.auc,knn_l_fp_ip.kld,knn_l_fp_ip.emd,knn_l_fp_ip.auc,emb_l2.kld,emb_l2.emd,emb_l2.auc,lgt_l2.kld,lgt_l2.emd,lgt_l2.auc,emb_ip.kld,emb_ip.emd,emb_ip.auc,lgt_ip.kld,lgt_ip.emd,lgt_ip.auc
flow_ss_vcr_mse,CIFAR10,A,,,,,,,,,,,,,,,,0.09422674926964947,0.000559764685295522,0.5579654033333333,0.08565071891351926,0.0010483960270881653,0.53192343,0.04372117675290584,26.77800869140625,0.5502628133333334,0.05998883492889874,72.96074758504231,0.5326648333333334,0.05095055883691382,0.4244968728661533,0.5574516433333333,0.03888441174041117,0.05514172193209326,0.5444006333333333,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,CIFAR10,B,,,,,,,,,,,,,,,,0.08353970741454812,0.0007640010792839649,0.5623020333333333,0.039747514438975395,0.001370830629269282,0.5450570866666666,0.11433992851017259,49.08285811920165,0.59366141,0.03388262045085763,39.05870929565429,0.5195798766666667,0.060349241315101144,0.8758605273644128,0.5686394533333334,0.03775992977422697,0.1355430193106334,0.5191588066666667,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,CIFAR10,Full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,MNIST,A,,,,,,,,,,,,,,,,0.20432079610597245,0.0013938426417682455,0.6656804398028447,0.30955141866453606,0.009183383744642639,0.6969554654802992,1.3997572383148553,68.45587288608856,0.8653411056559425,0.524275027924803,27.98839197872543,0.7517556649071125,0.5479982306322548,0.25726446104469664,0.7432802930276576,0.15777892035226554,0.03451853476766456,0.5740639246352935,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,MNIST,B,,,,,,,,,,,,,,,,0.889776928688609,0.0024332942157538925,0.7793090760642265,0.5963934356421584,0.01737091785017346,0.7689469491177514,1.4588078803486981,90.64409424995983,0.8614983312163501,1.0705247943587084,65.2503935029047,0.8388750733405292,0.8188354623591504,0.3545468787781444,0.7684170431194182,0.1973986403613863,0.10197129782638617,0.6680675442457453,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,MNIST,Full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,QPM2_species,A,,,,,,,,,,,,,,,,0.6135780919099078,0.00019008517361402707,0.6245837092811558,0.42886052076446984,0.023158757651981575,0.5681089782425832,0.7264343073600033,8.407185005303289,0.6397667500303196,0.06829727647381101,8.783170871182476,0.5280501114744253,0.8228362085996945,0.37049749629769135,0.604218762104024,0.012775040556488376,2.917516256795305,0.5711466976607724,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,QPM2_species,B,,,,,,,,,,,,,,,,0.02697960238994654,0.00011761846931138889,0.5072984477867946,0.873897589320306,0.03145012048305254,0.6127983217937016,0.34951694213166773,2.8694715812862808,0.5189434820765494,0.04147664636878664,5.862815503963847,0.5285079890786294,0.17389523125189504,0.3059326384268435,0.539799550352576,0.014431265256100275,2.265441547411743,0.5568632314914008,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,QPM2_species,Full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,QPM_species,A,,,,,,,,,,,,,,,,0.7023111363436233,0.00045336803308358904,0.6890034087685508,1.5266157077394937,0.03601732654734523,0.7564013945499517,0.20456582955392436,4.829553308161333,0.5100644832382772,0.1523049407807617,11.287279314899276,0.6086711969166492,0.15266300952826728,1.0022976951597729,0.6163856683817821,0.03826377385336131,5.589458487147575,0.6972046694281455,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,QPM_species,B,,,,,,,,,,,,,,,,1.2834536411759252,0.0007320250104050556,0.7171794244316543,0.5019093837370041,0.03267517554588982,0.7335034743217923,0.7227843506148542,25.382993047300367,0.6225093559172414,0.13841095040849707,9.549702930971575,0.5474310361238018,1.6828114210593015,2.8207506351491016,0.7244411566733355,0.23976475449799556,4.430406675629915,0.6960350728504135,,,,,,,,,,,,,,,,,,,,,,,,
flow_ss_vcr_mse,QPM_species,Full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
